deitestuser2@gmail.com,1
ovasylchenko@wynyardgroup.com,1
private@hotmail.com,1
anna.white@hotmail.com,1 
lewis.walker@q.com,1
"156 Long Avenue,Greentown,Texas,1232,USA",1
"89 Johnson Street,Los Angeles,California,9087,USA",1
Message Bank,1
DEI Test User2,1
Vasylchenko Olga,1
Private,1
White Anna,1
Walker Lewis,1
Dawson Leigh,1
101,1
22222223,1
027 517 6265,1
0274 500 824,1
0275176265,2
0212944678,4
71234567896,3
703,1
777,1
+64275176265,7
0274500824,1
0221957902,4
+64212944678,8
+6421600600,11
+64221957902,1
+64274500824,1
112345,1
vodafoneNumber,1
